"bodydiss","selfcrit","overval","fowg","drivethin","saa","alwaysworry","reject"
0.393770838232603,0.0809240520200897,0.0479521881654789,0.0641744284870555,0,0,0,0
0,0.310280932537688,0.0471164965342713,0,0,0.0367957304501038,0,0.0363306883940049
0,0.0605093786130138,0.358252946101207,0.0489816950507049,0.0805675469389874,0,0,0
0,0,0.0499526564107946,0.383957255819788,0.0791558195610191,0,0,0
0,0,0,0,0,0,0,0
0.0605525824145218,0,0,0,0,0,0,0.0529968266651867
0,0,0,0,0,0,0.406376238546289,0.0797290346477047
0,0,0,0,0.0442154213587351,0.0760841861231626,0.0437499627790444,0.407116865941419
