"","node.centrality.Betweenness","node.centrality.Closeness","node.centrality.Strength","node.centrality.ExpectedInfluence"
"bodydiss",6,0.0068439038781101,0.246683130912178,0.246683130912178
"selfcrit",0,0.00603117190995614,0.160603870264179,0.160603870264179
"overval",0,0.00553840189099143,0.192615453812623,0.192615453812623
"fowg",1,0.00598569294515337,0.391323769707644,0.391323769707644
"drivethin",6,0.00650790975311998,0.458770790227163,0.458770790227163
"saa",0,0.00627596426286964,0.22769707327579,0.22769707327579
"alwaysworry",8,0.0078581497530128,0.412554423129706,0.412554423129706
"reject",0,0.00630375826706947,0.161328153192388,0.161328153192388
