"","node.centrality.Betweenness","node.centrality.Closeness","node.centrality.Strength","node.centrality.ExpectedInfluence"
"bodydiss",3,0.00904797962388985,0.371215266195734,0.371215266195734
"feelfat",0,0.00752768966021152,0.163167828590891,0.163167828590891
"fowg",1,0.0100506431518181,0.38081669113753,0.38081669113753
"urge_restrict",1,0.00717272986595217,0.248750053373886,0.248750053373886
"mistakes",0,0.00720416484382138,0.155022102545978,0.155022102545978
"desirethin",6,0.0117262845026825,0.610421353879085,0.610421353879085
"overvalwtsh",8,0.0121660738215394,0.533983929268306,0.533983929268306
"highstand",0,0.00662208495126571,0.151482864945867,0.151482864945867
