"bodydiss","feelfat","fowg","urge_restrict","mistakes","desirethin","overvalwtsh","highstand"
0.136379940944961,0.094191208162591,0.0875195564843214,0,0,0,0.0677642697928085,0
0,0,0.073012797822787,0,0,0.0725557722617226,0,0
0,0.0944297409579766,0,0,0,0,0,0
0,0.0626675228457634,0,0,0,0,0,0
0,0,0,0,0,0,0,0.09943335087137
0.105689757886126,0,0,0,0,0,0.0898949835524939,0
0,0,0,0,0,0,0,0
0,0,0,0,0.0879804530886156,0,0,0
