"shame","guilty","overvalwtsh","worryoverwhelm","fearloc","mistakes","emo_overwhelm","ineffective"
0,0.475515938765927,0,0,0,0.0591554133256548,0,0.0764340786454623
0.475515938765927,0,0,0.052873587730836,0.109516918013994,0.0800169376114681,0,0
0,0,0,0.0729967441629268,0.112685560908018,0.0672053961006137,0,0
0,0.052873587730836,0.0729967441629268,0,0,0.119025968594721,0,0.0731312183365936
0,0.109516918013994,0.112685560908018,0,0,0,0,0
0.0591554133256548,0.0800169376114681,0.0672053961006137,0.119025968594721,0,0,0,0.123364480576887
0,0,0,0,0,0,0,0
0.0764340786454623,0,0,0.0731312183365936,0,0.123364480576887,0,0
